1,Тоня Мюллер,Гордость и пробуждение,мягкая,Женский роман,312,13,425,"В школьные годы Джулия презирала своего одноклассника Эдварда. Богатенький сын местного бизнесмена казался ей заносчивым и избалованным. Вне сомнений, все его высокие показатели по учёбе были куплены за деньги. Каково же было её разочарование, когда они вдвоём поступили в лучший университет штата! Нет, Эдвард не заслуживает внимания гордой Джулии. Но после студенческой вечеринки, она пробуждается в его комнате..."
2,Брунгильда Йоллучовская,Пленительная иллюзия страсти,мягкая,Женский роман,72,6,230,"Между очаровательной девушкой и прекрасным юношей из враждующих семей возникает страсть, которой они не в силах противостоять. Они буквально сожжены желанием друг друга, но вскоре открывают мрачные тайны, скрывающиеся за масками и ложью.Погружаясь в искушение и опасность, они рискуют потерять не только друг друга, но и самих себя."
3,Тоня Мюллер,Любовь с препятствиями ,твёрдая,Янг-эдалт,524,11,360,"На школьных соревнованиях в этом году настоящий накал страстей. Чтобы угодить спонсорам, директор сказал, что королём и королевой выпускного бала станут юноша и девушка с лучшими спортивными достижениями! Среди подтянутых гимнасток можно заметить серую мышку, хрупкую и даже по-милому неуклюжую Верону. Её взгляд устремлён на лучшего футболиста команды мальчиков, а в животе порхают бабочки. Он главный претендент на победу, ему нет равных. Победа в соревнованиях её последний шанс завоевать его сердце! Что же для главной героини представляет большую опасность: препятствия на спортивных пробегах или препятствия, что готовят ей соперницы?"
4,Норра Шилопопинс,"Солнце, которое светит только для тебя",твёрдая,Женский роман,273,8,410,"Эмма - амбициозная молодая женщина. Все её мечты заключаются в карьерном росте, ведь только так можно достичь высот небесного светила - она работает в сказочно красивом офисе высоко в небесах. Когда на работу приходит новый коллега, Марк, с его загадочной улыбкой и темными глазами, история начинает меняться. Их дружба перетекает в роман и перед девушкой стоит сложный выбор: реализовывать свои амбиции или дать волю чувствам. Это история о том, как любовь меняет жизни и сердца."
5,Иоанна Хмелевская,Что сказал покойник,твёрдая,Иронический детектив,480,12,536,"Иоанна, по специальности архитектор, решила подзаработать по контракту в Дании, где живет после замужества ее лучшая подруга Алиция. Однако близкие знают - дерзкая пани словно напрашивается на сомнительные приключения. Вот и в этот раз азартная Иоанна, решив пощекотать нервы рулеткой после успеха на бегах, становится свидетельницей перестрелки в нелегальном копенгагенском казино, и смертельно раненный человек доверяет ей таинственный шифр… Сообщники покойного готовы на все, лишь бы услышать заветные слова, и похищают девушку. Опасность ей грозит нешуточная, но пани - крепкий орешек и так просто сдаваться не намерена."
6,Брунгильда Йоллучовская,Законы страсти,мягкая,Женский роман,455,1,550,"1707 год. В модных салонах Лондона принято посмеиваться над верой в магию, но лишь немного севернее дела обстоят иначе. Джон Хёрт, бывший парламентарий и известный любитель науки, только назначен судьей в Хартфорд. Первым делом становится обвинение в ведьмовсте: молодую вдову Джейн Венст судят за убийство своего мужа, сделку с дьяволом и колдовство. Использовать силу закона, чтобы защитить обвиняемую от наговора соседей -- нелегкая задача. А вот объяснить себе, отчего сны о медноволосой подсудимой такие реальные -- просто невыполнимая..."
7,Евгений Тыртышников,Основы алгебры,твёрдая,Триллер,464,8,3188,"Эту книгу я посвящаю тем, кто любит алгебру, и особенно тем, кто начинает изучать ее в университете, обычно на первом курсе. Читать им лекции — особое удовольствие! Оттого что видишь, как каждый из них искренне тянется к знанию и как зажигаются чудесные огоньки в глазах, когда возникает понимание. Уже через пару лет с горечью замечаешь, что у многих тяга к знанию ослабла и огоньков совсем мало. Наверное, мы как-то не так учим? Я далек от того, чтобы преувеличивать значение дидактики. Но согласитесь, трудный путь к пониманию очень часто освещается вдруг всего лишь одним верным словом. Мне хотелось найти это слово."
8,Ланселот Фушпао,50 оттенков смелого,твёрдая,Янг-эдалт,563,10,470,"Подружки затащили Кэт на концерт группы BBF, от которой тащатся все девчонки их возраста. Кроме Кэт, конечно, она любит уединение и тишину.  Удивление девушки не знает предела, когда на следующий день черный лимузин таинственного солиста Дэмиана останавливается у ее неказистого дома.  Кэт ещё предстоит узнать, что Дэмиан не только играет в бойсбэнде, но и старательно пытается убежать от фамильной профессии: мафиози. Сколько испытаний ждёт две юные души? Сколько жизней погубит проскочившая между ними искра?"
9,Эллина Галопогосская,Пламя свечи: тающий воск сердца,мягкая,Женский роман,69,9,250,Ли - обычная крестьянка на Севере Китая. Она не видела ничего дальше соседней деревни. Во время внезапного набега с Запада Ли попадает в плен к загадочному воину с пылающим мечом. Кто этот незнакомец и сможет ли он растопить сердце девушки?
10,Роза Жравченко,"Уроки готовки для взрослых: как жить, если мама в другом городе",мягкая,Кулинарная книга,316,0,622,"Книга предлагает практическое руководство и советы для молодых взрослых, столкнувшихся с ситуацией, когда они оказываются вдали от родительского дома. Автор раскрывает аспекты самостоятельной жизни, фокусируясь на основах готовки и приготовления пищи. Книга содержит примеры эффективного планирования, покупки и приготовления пищи, а также предлагает рецепты разнообразных блюд из доступных ингредиентов. Она также поднимает важные вопросы о здоровом питании и предлагает рекомендации по планированию питания на неделю, чтобы обеспечить сбалансированное и питательное меню. Эта книга поможет читателям справиться с вызовами бытового управления и развить навыки, необходимые для успешной и независимой жизни на своей кухне."
